datetime_jst,pct
2026-07-10 09:05:00+09:00,0.000000
2026-07-10 09:10:00+09:00,-0.326621
2026-07-10 09:15:00+09:00,-0.169283
2026-07-10 09:20:00+09:00,0.010075
2026-07-10 09:25:00+09:00,-0.574070
2026-07-10 09:30:00+09:00,-0.168872
2026-07-10 09:35:00+09:00,-0.002402
2026-07-10 09:40:00+09:00,-0.090294
2026-07-10 09:45:00+09:00,-0.339867
2026-07-10 09:50:00+09:00,-0.376039
2026-07-10 09:55:00+09:00,-0.245828
2026-07-10 10:00:00+09:00,-0.357401
2026-07-10 10:05:00+09:00,-0.401394
2026-07-10 10:10:00+09:00,-0.298829
2026-07-10 10:15:00+09:00,-0.443339
2026-07-10 10:20:00+09:00,-0.337633
2026-07-10 10:25:00+09:00,-0.283639
2026-07-10 10:30:00+09:00,-0.157172
2026-07-10 10:35:00+09:00,-0.251668
2026-07-10 10:40:00+09:00,-0.110674
2026-07-10 10:45:00+09:00,-0.008881
2026-07-10 10:50:00+09:00,-0.259029
2026-07-10 10:55:00+09:00,-0.139979
2026-07-10 11:00:00+09:00,0.073787
2026-07-10 11:05:00+09:00,0.278131
2026-07-10 11:10:00+09:00,0.260940
2026-07-10 11:15:00+09:00,0.281742
2026-07-10 11:20:00+09:00,0.300016
2026-07-10 11:25:00+09:00,0.411181
2026-07-10 11:30:00+09:00,0.447705
2026-07-10 12:30:00+09:00,0.183359
2026-07-10 12:35:00+09:00,-0.113982
2026-07-10 12:40:00+09:00,-0.302792
2026-07-10 12:45:00+09:00,-0.422940
2026-07-10 12:50:00+09:00,-0.367942
2026-07-10 12:55:00+09:00,-0.531266
2026-07-10 13:00:00+09:00,-0.439396
2026-07-10 13:05:00+09:00,-0.341184
2026-07-10 13:10:00+09:00,-0.360475
2026-07-10 13:15:00+09:00,-0.303535
2026-07-10 13:20:00+09:00,-0.320416
2026-07-10 13:25:00+09:00,-0.321216
2026-07-10 13:30:00+09:00,-0.394268
2026-07-10 13:35:00+09:00,-0.281034
2026-07-10 13:40:00+09:00,-0.264962
2026-07-10 13:45:00+09:00,-0.275085
2026-07-10 13:50:00+09:00,-0.363494
2026-07-10 13:55:00+09:00,-0.360697
2026-07-10 14:00:00+09:00,-0.351807
2026-07-10 14:05:00+09:00,-0.395654
2026-07-10 14:10:00+09:00,-0.357646
2026-07-10 14:15:00+09:00,-0.312085
2026-07-10 14:20:00+09:00,-0.386676
2026-07-10 14:25:00+09:00,-0.380989
2026-07-10 14:30:00+09:00,-0.391708
2026-07-10 14:35:00+09:00,-0.365443
2026-07-10 14:40:00+09:00,-0.393879
2026-07-10 14:45:00+09:00,-0.342124
2026-07-10 14:50:00+09:00,-0.383999
2026-07-10 14:55:00+09:00,-0.309814
2026-07-10 15:00:00+09:00,-0.379787
2026-07-10 15:05:00+09:00,-0.264181
2026-07-10 15:10:00+09:00,-0.283672
2026-07-10 15:15:00+09:00,-0.285296
2026-07-10 15:20:00+09:00,-0.248216
2026-07-10 15:25:00+09:00,2.349672
